pair_dir,prompt_a,prompt_b,variant,pixel_mse_to_A_full,pixel_l2_to_A_full,pixel_mse_to_B_full,pixel_l2_to_B_full,lpips_to_A_full,lpips_to_B_full,clip_align_to_prompt_A,clip_align_to_prompt_B,clip_semantic_margin_B_minus_A,b_survival_ratio_mse,a_dominance_ratio_mse
./ab_out/dancer/pair_00_A_young_woman_in_a_flowing_whi__A_young_man_in_flowing_white_c,A young woman in a flowing white dress dances gracefully in a sunlit grassy meadow,A young man in flowing white clothes dances gracefully in a sunlit grassy meadow,B_from_step5,0.026448078453540802,1593.263916015625,0.054067082703113556,2273.723876953125,,,0.2728298604488373,0.3063562214374542,0.03352636098861694,0.4891715463689654,2.0442726226061687
./ab_out/dancer/pair_00_A_young_woman_in_a_flowing_whi__A_young_man_in_flowing_white_c,A young woman in a flowing white dress dances gracefully in a sunlit grassy meadow,A young man in flowing white clothes dances gracefully in a sunlit grassy meadow,B_from_step10,0.014007939025759697,1159.313720703125,0.06403762847185135,2475.852294921875,,,0.27166280150413513,0.3093908727169037,0.037728071212768555,0.21874543701937815,4.571523930400487
./ab_out/dancer/pair_01_A_young_woman_in_a_flowing_whi__A_young_woman_in_a_flowing_whi,A young woman in a flowing white dress dances gracefully in a sunlit grassy meadow,A young woman in a flowing white dress dances gracefully on a sunlit rooftop in a city,B_from_step5,0.033935800194740295,1804.7586669921875,0.24877865612506866,4881.11474609375,,,0.2698233127593994,0.26737943291664124,-0.0024438798427581787,0.1364096129600432,7.330861647506601
./ab_out/dancer/pair_01_A_young_woman_in_a_flowing_whi__A_young_woman_in_a_flowing_whi,A young woman in a flowing white dress dances gracefully in a sunlit grassy meadow,A young woman in a flowing white dress dances gracefully on a sunlit rooftop in a city,B_from_step10,0.014004802331328392,1157.357666015625,0.2618480622768402,5008.4228515625,,,0.29429560899734497,0.25980353355407715,-0.03449207544326782,0.05348446045219056,18.69701949959641
./ab_out/dancer/pair_02_A_young_woman_in_a_flowing_whi__A_young_woman_in_a_flowing_cri,A young woman in a flowing white dress dances gracefully in a sunlit grassy meadow,A young woman in a flowing crimson red dress dances gracefully in a sunlit grassy meadow,B_from_step5,0.04966473951935768,2183.21923828125,0.12392567098140717,3437.891357421875,,,0.2745392918586731,0.2820308804512024,0.007491588592529297,0.40076232088191793,2.495244557420965
./ab_out/dancer/pair_02_A_young_woman_in_a_flowing_whi__A_young_woman_in_a_flowing_cri,A young woman in a flowing white dress dances gracefully in a sunlit grassy meadow,A young woman in a flowing crimson red dress dances gracefully in a sunlit grassy meadow,B_from_step10,0.0090359291061759,930.8700561523438,0.15786682069301605,3886.55615234375,,,0.2572092115879059,0.24632984399795532,-0.010879367589950562,0.05723767075633293,17.47101142981709
./ab_out/dancer/pair_03_A_young_woman_in_a_flowing_whi__A_young_woman_in_a_flowing_whi,A young woman in a flowing white dress dances gracefully in a sunlit grassy meadow,A young woman in a flowing white dress stands still with eyes closed in a sunlit grassy meadow,B_from_step5,0.0520692840218544,2232.59521484375,0.13473881781101227,3585.158203125,,,0.26421695947647095,0.2794668674468994,0.015249907970428467,0.38644605072079496,2.5876833212160166
./ab_out/dancer/pair_03_A_young_woman_in_a_flowing_whi__A_young_woman_in_a_flowing_whi,A young woman in a flowing white dress dances gracefully in a sunlit grassy meadow,A young woman in a flowing white dress stands still with eyes closed in a sunlit grassy meadow,B_from_step10,0.010576127097010612,1006.763671875,0.15732179582118988,3881.653076171875,,,0.27819836139678955,0.2615717351436615,-0.016626626253128052,0.06722607660181629,14.875180146582917
./ab_out/dancer/pair_04_A_young_woman_in_a_flowing_whi__A_young_woman_in_a_sequined_gl,A young woman in a flowing white dress dances gracefully in a sunlit grassy meadow,A young woman in a sequined glittering dress dances gracefully in a sunlit grassy meadow,B_from_step5,0.014990120194852352,1198.4244384765625,0.07186710834503174,2615.82421875,,,0.27864551544189453,0.2812905013561249,0.0026449859142303467,0.20858109558110025,4.794298338562428
./ab_out/dancer/pair_04_A_young_woman_in_a_flowing_whi__A_young_woman_in_a_sequined_gl,A young woman in a flowing white dress dances gracefully in a sunlit grassy meadow,A young woman in a sequined glittering dress dances gracefully in a sunlit grassy meadow,B_from_step10,0.005727651994675398,740.7578125,0.07029978185892105,2587.592041015625,,,0.289880633354187,0.27348843216896057,-0.01639220118522644,0.08147467663796966,12.2737523027366
./ab_out/dancer/pair_05_A_young_woman_in_a_flowing_whi__A_pencil_sketch_of_a_young_wom,A young woman in a flowing white dress dances gracefully in a sunlit grassy meadow,A pencil sketch of a young woman in a flowing white dress dancing gracefully in a sunlit grassy meadow,B_from_step5,0.02016184665262699,1389.82568359375,0.03648477792739868,1863.750732421875,,,0.2854404151439667,0.2221277803182602,-0.06331263482570648,0.5526098224510834,1.8095950512868766
./ab_out/dancer/pair_05_A_young_woman_in_a_flowing_whi__A_pencil_sketch_of_a_young_wom,A young woman in a flowing white dress dances gracefully in a sunlit grassy meadow,A pencil sketch of a young woman in a flowing white dress dancing gracefully in a sunlit grassy meadow,B_from_step10,0.0068912021815776825,812.2025756835938,0.04266008734703064,2014.5030517578125,,,0.28325265645980835,0.22547303140163422,-0.05777962505817413,0.16153746066010682,6.190514546369611
./ab_out/dancer/pair_06_A_young_woman_in_a_flowing_whi__A_young_woman_in_a_flowing_whi,A young woman in a flowing white dress dances gracefully in a sunlit grassy meadow,A young woman in a flowing white dress dances gracefully in a grassy meadow under the moonlight at midnight,B_from_step5,0.02175695076584816,1442.9281005859375,0.29392683506011963,5265.6328125,,,0.2964347004890442,0.25676703453063965,-0.03966766595840454,0.0740216549516413,13.509560150381732
./ab_out/dancer/pair_06_A_young_woman_in_a_flowing_whi__A_young_woman_in_a_flowing_whi,A young woman in a flowing white dress dances gracefully in a sunlit grassy meadow,A young woman in a flowing white dress dances gracefully in a grassy meadow under the moonlight at midnight,B_from_step10,0.0052617997862398624,708.7149658203125,0.31034666299819946,5414.60205078125,,,0.29324039816856384,0.2527431547641754,-0.04049724340438843,0.016954587928887734,58.98108548519602
