pair_dir,prompt_a,prompt_b,variant,pixel_mse_to_A_full,pixel_l2_to_A_full,pixel_mse_to_B_full,pixel_l2_to_B_full,lpips_to_A_full,lpips_to_B_full,clip_align_to_prompt_A,clip_align_to_prompt_B,clip_semantic_margin_B_minus_A,b_survival_ratio_mse,a_dominance_ratio_mse
./ab_out_k27/car/pair_00_A_red_vintage_convertible_with__A_red_vintage_motorcycle_with_,A red vintage convertible with a black leather interior drives down a coastal highway at sunset,A red vintage motorcycle with a black leather seat drives down a coastal highway at sunset,B_from_step2,0.10243713110685349,3120.364501953125,0.09506505727767944,2987.90185546875,,,0.25071626901626587,0.30714350938796997,0.0564272403717041,1.0775476714608254,0.9280331872874872
./ab_out_k27/car/pair_00_A_red_vintage_convertible_with__A_red_vintage_motorcycle_with_,A red vintage convertible with a black leather interior drives down a coastal highway at sunset,A red vintage motorcycle with a black leather seat drives down a coastal highway at sunset,B_from_step7,0.03167932480573654,1739.3612060546875,0.11724057048559189,3338.9931640625,,,0.30209410190582275,0.21685326099395752,-0.08524084091186523,0.2702078698058683,3.700854459636772
./ab_out_k27/car/pair_01_A_red_vintage_convertible_with__A_red_vintage_convertible_with,A red vintage convertible with a black leather interior drives down a coastal highway at sunset,A red vintage convertible with a black leather interior drives through a dense snowy mountain pass at sunset,B_from_step2,0.14795126020908356,3755.71728515625,0.15188178420066833,3791.4033203125,,,0.26073670387268066,0.310213178396225,0.04947647452354431,0.9741211626379651,1.0265663434433083
./ab_out_k27/car/pair_01_A_red_vintage_convertible_with__A_red_vintage_convertible_with,A red vintage convertible with a black leather interior drives down a coastal highway at sunset,A red vintage convertible with a black leather interior drives through a dense snowy mountain pass at sunset,B_from_step7,0.020502077415585518,1395.2542724609375,0.2140839397907257,4527.80908203125,,,0.3003752827644348,0.2615368962287903,-0.03883838653564453,0.09576653641383372,10.442060843452907
./ab_out_k27/car/pair_02_A_red_vintage_convertible_with__A_deep_navy_blue_vintage_conve,A red vintage convertible with a black leather interior drives down a coastal highway at sunset,A deep navy blue vintage convertible with a black leather interior drives down a coastal highway at sunset,B_from_step2,0.06501106172800064,2469.386474609375,0.06501363217830658,2471.224609375,,,0.26621782779693604,0.3125108480453491,0.046293020248413086,0.9999604629026281,1.0000395386606158
./ab_out_k27/car/pair_02_A_red_vintage_convertible_with__A_deep_navy_blue_vintage_conve,A red vintage convertible with a black leather interior drives down a coastal highway at sunset,A deep navy blue vintage convertible with a black leather interior drives down a coastal highway at sunset,B_from_step7,0.02483850158751011,1538.7598876953125,0.09236364811658859,2952.686279296875,,,0.27561312913894653,0.28471601009368896,0.009102880954742432,0.2689207506849125,3.7185676354580544
./ab_out_k27/car/pair_03_A_red_vintage_convertible_with__A_red_vintage_convertible_with,A red vintage convertible with a black leather interior drives down a coastal highway at sunset,A red vintage convertible with a black leather interior sits parked on a coastal highway at sunset,B_from_step2,0.08094707876443863,2748.278564453125,0.10043064504861832,3082.40869140625,,,0.2815617620944977,0.2761818766593933,-0.00537988543510437,0.8059997894592061,1.2406951131723747
./ab_out_k27/car/pair_03_A_red_vintage_convertible_with__A_red_vintage_convertible_with,A red vintage convertible with a black leather interior drives down a coastal highway at sunset,A red vintage convertible with a black leather interior sits parked on a coastal highway at sunset,B_from_step7,0.014566241763532162,1176.6846923828125,0.10552000254392624,3161.9736328125,,,0.28355687856674194,0.27956247329711914,-0.003994405269622803,0.13804246979115145,7.24414740994514
./ab_out_k27/car/pair_04_A_red_vintage_convertible_with__A_rusty_weather-beaten_vintage,A red vintage convertible with a black leather interior drives down a coastal highway at sunset,A rusty weather-beaten vintage convertible with cracked leather interior drives down a coastal highway at sunset,B_from_step2,0.064632348716259,2464.836669921875,0.03600965440273285,1845.9432373046875,,,0.278985857963562,0.28734129667282104,0.008355438709259033,1.7948616777436752,0.5571459975997161
./ab_out_k27/car/pair_04_A_red_vintage_convertible_with__A_rusty_weather-beaten_vintage,A red vintage convertible with a black leather interior drives down a coastal highway at sunset,A rusty weather-beaten vintage convertible with cracked leather interior drives down a coastal highway at sunset,B_from_step7,0.020673641934990883,1402.590576171875,0.0683872252702713,2531.78955078125,,,0.2876056730747223,0.2502588629722595,-0.03734681010246277,0.30230268669751026,3.307942813623151
